rank,astrodeep_id,field,ra,dec,zphot,zspec,has_nirspec,mahal_dist,class_star,r50_px,mag_F444W,snr_F444W,f_F814W,f_F115W,f_F150W,f_F200W,f_F277W,f_F356W,f_F410M,f_F444W
54,74707,JADESGNO,189.161841,62.251053,5.0,,False,1.131,0.99,3.213,24.978,108.7,0.03451,0.04299,0.04511,0.0608,0.20851,0.42793,0.32123,0.37054
55,30901,CEERSO,214.738251,52.727473,4.65,,False,1.148,0.96,3.351,26.938,21.8,0.01888,0.0083,0.00883,0.0137,0.03428,0.04775,0.05031,0.06092
56,183206,PRIMERUO,34.398883,-5.277551,6.7,,False,1.153,0.98,2.816,25.149,67.4,0.03005,0.01754,0.02083,0.0238,0.08885,0.23198,0.25934,0.31666
57,80840,JADESGNO,189.113078,62.292383,5.375,,False,1.165,0.97,2.982,25.27,97.9,0.0201,0.01466,0.0139,0.01709,0.08999,0.17392,0.28888,0.28305
58,192467,PRIMERUO,34.230889,-5.249523,5.575,,False,1.166,0.95,3.901,24.845,73.6,0.02617,0.02131,0.03825,0.06564,0.17192,0.30525,0.35772,0.41889
59,60227,JADESGNO,189.30751,62.178013,7.925,,False,1.169,0.85,4.933,24.976,174.3,0.00744,0.02765,0.03667,0.05277,0.0728,0.20009,0.14737,0.37129
60,74567,JADESGNO,189.211085,62.250272,4.85,,False,1.219,0.98,3.165,25.292,105.5,0.01373,0.01416,0.02023,0.03184,0.11953,0.23923,0.24395,0.27736
61,128176,PRIMERCO,150.088852,2.20702,3.8,,False,1.221,0.91,3.775,26.238,61.4,0.01381,0.01946,0.01634,0.0256,0.05133,0.08053,0.09701,0.11613
62,82766,JADESGNO,189.167294,62.319726,17.075,,False,1.221,0.94,2.2,25.906,15.9,-0.00148,0.01795,0.01009,0.00812,0.15001,0.16192,0.26442,0.15755
63,129741,PRIMERCO,150.102281,2.219085,7.75,,False,1.222,0.98,2.798,26.622,55.1,0.00995,0.03515,0.01185,0.01004,0.02215,0.05516,0.06837,0.08151
64,75946,JADESGNO,189.159006,62.260217,5.0,,False,1.222,0.93,3.67,24.689,118.2,0.03313,0.0356,0.04205,0.05818,0.18214,0.43015,0.38784,0.48342
65,181134,PRIMERUO,34.240588,-5.285075,5.0,,False,1.233,0.98,1.539,24.271,28.4,0.02819,0.04669,0.04188,0.05913,0.72699,0.74493,1.57244,0.71057
66,93764,JADESGSO,53.0374,-27.865598,5.4,,False,1.24,0.98,3.323,24.32,730.3,0.03893,0.05648,0.06199,0.07024,0.28176,0.63763,0.6553,0.67918
67,114872,JADESGSO,53.125427,-27.787437,5.475,,False,1.249,0.98,2.981,25.876,165.4,0.00319,0.00636,0.00627,0.00745,0.04178,0.10918,0.17695,0.16206
68,108423,JADESGSO,53.144939,-27.813812,4.375,,True,1.27,0.98,3.352,26.124,195.3,0.01792,0.01591,0.01813,0.02053,0.0578,0.08485,0.11271,0.12889
69,168920,PRIMERCO,150.14571,2.446264,4.65,,False,1.307,0.98,3.172,24.998,141.5,0.11009,0.09858,0.11439,0.12942,0.31419,0.43129,0.33117,0.36366
70,100915,JADESGSO,53.042426,-27.841816,4.65,,False,1.354,1.0,3.298,23.81,248.0,0.02398,0.02179,0.02825,0.06758,0.3771,0.90305,0.97306,1.08612
71,99768,JADESGSO,53.036389,-27.846573,5.4,,False,1.357,0.98,3.296,25.241,83.3,0.01867,0.0229,0.03023,0.03829,0.15218,0.38955,0.28108,0.29089
72,183898,PRIMERUO,34.458978,-5.275622,5.5,,False,1.396,0.97,3.343,26.94,21.5,0.01447,0.01373,0.013,0.01432,0.03548,0.05711,0.06364,0.0608
73,67709,JADESGNO,189.281655,62.216122,5.6,,False,1.407,0.97,3.478,25.653,118.5,0.01674,0.01434,0.01663,0.02022,0.07195,0.17859,0.1686,0.19906
74,78880,JADESGNO,189.173227,62.280935,4.475,,False,1.416,0.98,3.195,26.953,19.2,0.0396,0.03177,0.0292,0.03061,0.08185,0.1301,0.06283,0.06007
75,196328,PRIMERUO,34.246611,-5.237061,7.55,,False,1.488,0.96,3.429,26.333,25.2,0.01131,0.01435,0.01241,0.02886,0.0302,0.06237,0.13246,0.10639
